id,setor,tombo,descricao,
000NUWFhNq,1113,7136,CADEIRA EXECUTIVA GIRATÓRIA COM BRAÇOS,
003dBO0s8H,111618,10614,APARELHO TELEFONICO IP SIP T21,
00BUhVKSCr,1164,10897,QUADRO BRANCO COM MOLDURA DE ALUMINIO 3,
00M8pO1iA0,1102,11065,POLTRONA FIXA,
00oruLPRRX,111501,10939,NOTEBOOK LENOVO L450,
00zWBSzhu1,1115,16791,BANQUETA GIRATORIA COM ASSENTO ESTOFADO,
010Qxv8wDx,1164,121,EXTINTOR DE INCÊNDIO PQS,
016kYrgs1a,1164,1801,CADEIRA COMUM,
019wC9nZrN,1164,6325,CADEIRA DE GIRATÓRIA SEM BRAÇO MARTIFLEX,
01GUFRelu7,1114,16649,ARMARIO MADEIRA - AVL,
01WPFqDKP1,110409,208431,CARTEIRA ESCOLAR UNIVERSITARIA DE,
01YKacL1xv,1114,17434,CADEIRA ESCOLAR COM PRANCHETA FRONTAL,
01bV0HXiG7,1184,17294,CADEIRA FIXA POLIPROPILENO EMPILHAVEL AZUL,
01bgechh7o,1114,16663,CADEIRA ESCRITORIO AVL,
02MChVOu8h,110409,237868,MODULO ISOLADOR,
02OIpaZkCZ,116339,10590,APARELHO TELEFONICO IP SIP T21,
02skgxziT6,110409,333676,BANCO INDIVIDUAL COM ASSENTO ESTOFADO,
02tmHVqC7Z,1110,1139,PEDESTAL PARA MICROFONE,
02wPkCQvnW,110409,333558,BANCO INDIVIDUAL COM ASSENTO ESTOFADO,
03HMT2oZmJ,1115,15470,KIT NECRÓPSIA,
03PED7thWy,112303,14403,CADEIRA FIXA EMPILHÁVEL,
03obvTvq7r,1110,13117,FLAUTA DOCE SOPRANO YAMAHA,
03wOjMS9Cc,1103,475,REDE DE INFORMÁTICA MÓDULO POWER INJETOR,
03wb78DoCX,116330,15861,FONE DE OUVIDO/HEADSET LEHMOX,
047K1cVEhI,111103,2702,CADEIRA FIXA AZUL ROYAL,
049sAZYEoX,1164,9109,CARTEIRA ESCOLAR PARA DESTRO,
04O3L14Q9l,110409,258383,CARTEIRA ESCOLAR UNIVERSITARIA DE,
04RFVpxciw,1164,17949,QUADRO BRANCO 200X120CM,
04WDFc3Iv4,110123,13642,CAIXA DE SOM MULTIUSO AMVOX ACA 110,
04Xa7Wz6Ig,1110,3505,MESA DE REUNIÃO REDONDA MED 1200 X730MM,
04kIDvx1EL,110409,248086,CARTEIRA ESCOLAR UNIVERSITARIA COM ASSENTO E,
0502KD1kKJ,110409,18506,EXTINTOR PQS ABC 6KG,
05J42Mv9MD,110409,319186,CARTEIRA ESCOLAR UNIVERSITARIA COM ASSENTO E,
05WWpV8rpa,111106,7688,ESTANTE PARA PARTITURA,
05YFFwvDId,1103,605,REDE DE INFORMÁTICA P DUAL-BAND INDOOR GERAL,
05fehPmeec,110406,10573,APARELHO TELEFONICO IP SIP T21,
05n5sFjWSO,110409,259552,APARELHO TELEFONICO,
05sGbaGLrt,1114,2562,CADEIRA FIXA AZUL ROYAL,
065DrCGnAE,110409,222687,CAIXA DE SOM,
065ntBs8uM,1115,6229,APARELHO DE AR CONDICIONADO TIPO SPLIT HI-WALL,
06IBOkYBRs,1114,568,REDE DE INFORMÁTICA P DUAL-BAND INDOOR GERAL,
06PkDrtRB1,111304,16778,NOTEBOOK VAIO FE14,
06YNDsOvov,110103,196,COMPUTADOR - ESTAÇÃO TRABALHO - DESKTOP ´TIPO,
06nrxBY0UE,110409,257376,CARTEIRA ESCOLAR UNIVERSITARIA DE,
073wYlP40B,1117,1537,CADEIRA COMUM,
079kY5IxRT,112201,3785,BIBLIOCANTO. CONFECÇÃO EM AÇO,
07EfCziovt,111103,13215,BANQUETA ALTA MADEIRA,
07MfofIHR1,1164,333921,QUADRO PORTA CHAVES DE MADEIRA,
07icYtlX1j,1114,16911,ESCADA DOIS DEGRAUS,
07qDmDNiYg,110409,258715,MESA RETANGULAR DE MADEIRA PARA REUNIAO,
07s7N5KOtl,110409,341726,CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS,
07wwSJROM2,110409,343373,ARMARIO DE MADEIRA COM PORTAS DE ABRIR,
08ADxxd0yU,110409,237993,CARTEIRA  COM ASSENTO E ENCOSTO EM MADEIRA,
08FtrPak6u,1110,8820,ARMÁRIO SUPER ALTO MEDINDO 800X500X2100,
08dRURLmIZ,110409,308004,FONTE DE TENSAO,
08gDGuVhPR,1115,33,EXTRATOR DE GORDURA (MÉTODO TRADICIONAL -,
0A3UNJaUbh,110409,230531,ESTANTE DE ACO ABERTA COM PRATELEIRAS,
0A6bsBUwPl,111702,15177,MODELO ANATÕMICO DE CRÂNIO DIDÁTICO,
0ACVRDGBWo,1164,17723,CADEIRA ESCOLAR COM PRANCHETA FRONTAL,
0ADTRnWzSE,1116,17029,MICROCOMPUTADOR PORTATIL DELL G15 5511,
0AQp5AEpgH,1164,2297,CADEIRA SECRETARIA OPERACIONAL SEM BRAÇOS,
0AVJ7bWIHJ,1117,8073,GAVETEIRO VOLANTE 3 GAVETAS,
0AVyY8Tt8q,1110,14835,CADEIRA FIXA EMPILHÁVEL,
0Ao5pH71Wc,110106,13957,COMPUTADOR DELL OPTIPLEX TIPO I -,
0ApGYEnZrx,110409,245940,DESTILADOR DE AGUA,
0ApskC7rgu,1184,16022,COMPUTADOR LENOVO TC M75S GEN 2,
0Atw54rGuB,110409,208308,CARTEIRA ESCOLAR UNIVERSITARIA DE,
0B3RvHRoG0,1116,8926,TRIPÉ PARA EXTENSÔMETRO,
0B44WDxnHl,110409,288254,MICROCOMPUTADOR,
0BAGRnEL68,110409,159711,MESA PARA CADAVER,
0BTrVHlGqJ,110409,991356,CONJUNTO DE INSTRUMENTOS MUSICAIS,
0BVKmmN0cB,110409,238086,APARELHO TELEFONICO,
0Be7Cc1kmE,110409,257393,CARTEIRA ESCOLAR UNIVERSITARIA DE,
0BgSIUTDJu,1117,8218,MESA RETA 800X600755,
0BmFiTxBxK,110409,264518,MICROCOMPUTADOR,
0BsrE1YbBy,1115,1813,CADEIRA COMUM,
0BtEKLs5fK,111103,7789,APARELHO DE AR CONDICIONADO SPLIT PISO-TETO,
0CBa2FV9Kx,1117,16625,ASPIRADOR DE PÓ/LIQUIDO VAC14 220V/ 50-60HZ,
0CCqJAseJm,111103,13410,MANEQUIM DE ALFAIATARIA FEMININO TAM 38,
0CJtZWZMSY,110409,257200,CARTEIRA ESCOLAR UNIVERSITARIA DE,
0CKVgd7iqW,1116,4549,COMPUTADOR DELL OPTIPLEX 5050 SFF,
0CN4YWGZhP,110409,257600,CARTEIRA ESCOLAR UNIVERSITARIA DE,
0COHaYHrsw,112303,14645,CADEIRA FIXA EMPILHÁVEL,
0CPMS9J0A1,110409,209358,AGITADOR MAGNETICO,
0CdjgyYI8X,1116,3312,CARTEIRA ESCOLAR PARA DESTRO,
0CfKkHWspu,110409,18534,EXTINTOR PQS ABC 6KG,
0Cglrzvqom,110409,300357,REOMETRO,
0D0dGLNSTi,110409,247917,CARTEIRA ESCOLAR UNIVERSITARIA COM ASSENTO E,
0D6UDLMoOS,1116,15479,EQUIPAMENTO DE SONDAGEM SPT COMPLETO,
0DDF25gOHu,110409,276339,CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS,
0DDvIoPBAy,112303,14275,CADEIRA FIXA EMPILHÁVEL,
0DUnH7EmZq,1117,12842,POLTRONA GIRATORIA PARA ESCRITORIO ESPALDAR,
0DcUGjKDNQ,1164,10180,POLTRONA PARA AUDITORIO,
0Doj8z7fdu,110409,821568,MESA DE MADEIRA SEM GAVETA,
0E4GrTZH3c,111126,7130,CADEIRA EXECUTIVA GIRATÓRIA COM BRAÇOS,
0EIXCmpRZ7,110409,287068,CADEIRA GIRATORIA COM ASSENTO E ENCOSTO,
0EKfyO4qos,110409,905946,DETERMINACAO DE EFEITOS TERMICOS,
0EasYQCfQF,110409,257428,CARTEIRA ESCOLAR UNIVERSITARIA DE,
0EjUYGRYdY,1123,990,COMPUTADOR - ESTAÇÃO TRABALHO - DESKTOP ´TIPO,
0EovSCoUeK,111103,11507,MESA DE DESENHO COM BASE E PRANCHETA,
0EvYrduGk7,1114,8275,MESA TIPO CANOA PARA REUNIÃO,
0FEvrhwfzF,110409,333613,BANCO INDIVIDUAL COM ASSENTO ESTOFADO,
0FICMMIR20,1115,16490,CHUVEIRO E LAVA OLHOS,
0FR8GwiEja,1110,987,COMPUTADOR - ESTAÇÃO TRABALHO - DESKTOP ´TIPO,
0FRGfJQS9W,110409,237516,MODULO ISOLADOR,
0FTM5xp4L2,110409,344609,MESA REUNIAO,
0FTPuVFJ2f,111103,6850,MÁQUINA DE COSTURA INDUSTRIAL DE COLUNA,
0FhtTtD24A,111106,7229,FLAUTA DOCE CONTRALTO,
0FkMrAiqgR,1164,1528,CADEIRA COMUM,
0FxctYTOKa,111101,11194,POLTRONA FIXA,
0Fxw8sIufw,1107,2680,CADEIRA FIXA AZUL ROYAL,
0G2t9jCJB7,110409,257245,CARTEIRA ESCOLAR UNIVERSITARIA DE,
0GG54lObZs,110409,319541,CARTEIRA ESCOLAR UNIVERSITARIA COM ASSENTO E,
0GKOixGV3O,1117,657,REDE INFORMÁTICA LINKS,
0GKTlyK3WL,1116,1025,COMPUTADOR - ESTAÇÃO TRABALHO - DESKTOP ´TIPO,
0GPSM8ybPp,110409,821374,MESA DE MADEIRA SEM GAVETA,
0GSKPcaGpR,110409,288039,CADEIRA ESTOFADA MODELO DIRETOR COM BRAÇOS,
0GVNlZ3vMh,110409,209194,CENTRIFUGA PARA TUBO DE ENSAIO,
0GaDzphqOp,110136,15253,KIT DE BASTÕES COM 05 UNIDADES,
0GcuRlEQwX,1114,17545,CADEIRA ESCOLAR COM PRANCHETA FRONTAL,
0GfLskPqgN,1115,13385,BANQUETA ALTA MADEIRA,
0GkwDA41cL,1114,16305,OFTALMOSCÓPIO MD,
0HFFZHkfkm,110409,7793,APARELHO DE AR CONDICIONADO SPLIT PISO-TETO,
0HJ6pXjlOF,1102,12044,APARELHO DE AR CONDICIONADO TIPO SPLIT,
0HPfny0vUk,111604,10477,APARELHO TELEFONICO IP SIP T21,
0HVT7xERGZ,110302,11803,INTERFACE PARA FIBRA ÓTICA TIPO 10GBASE-SR,
0HZX1leGeN,112203,4804,APARELHO DE AR CONDICIONADO TIPO SPLIT PISO-,
0HkzJKGew7,111702,15170,MODELO ANATÔMICO DE CELULA ANIMAL AMPLIADA,
0Hr4mcTQbJ,1115,4488,APARELHO DE AR CONDICIONADO TIPO SPLIT,
0HyPbMHuiG,110409,1209,TELA DE PROJEÇÃO. TELA DE PROJEÇÃO RETRÁTIL DE,
0HzbyrCtJx,1107,8688,MESA PARA REUNIÃO REDONDA 1,
0IC6YcbsjW,110409,291013,ARMARIO DE ACO,
0IMktHj3Pf,110409,820374,CODIGO PROVISORIO P/ MIGRACAO,
0IMwoXysaB,111103,12352,CADEIRA FIXA EM POLIPROPILENO,
0IN3iuZSic,1114,10817,GAIOLA COBAIA PEQUENO PORTE 410X340,
0ITXSbhKiZ,1164,1591,CADEIRA COMUM,
0IiLHNrQcy,110409,288032,MESA PARA MICROCOMPUTADOR,
0IrDBAtjAD,111103,11623,CADEIRA ISO EM POLIPROPILENO,
0IzffgS0W3,110409,820455,CARTEIRA ESCOLAR UNIVERSITARIA DE,
0Jg1qulMsg,1116,13864,VENTILADOR OSC PAREDE 60CM,
0JrmrpDdUA,110101,8695,MESA PARA REUNIÃO REDONDA 1,
0Jt630aZ3t,1114,9787,ARMÁRIO VESTIÁRIO 4 PORTAS,
0JtFShx65F,1102,1973,CADEIRA SECRETARIA OPERACIONAL COM BRAÇOS,
0KFHHRNGI7,116328,8205,MESA RETA 800X600755,
0KeHojadsQ,110409,209227,BANCADA DE MADEIRA,
0KmY87hV46,111701,17004,NOTEBOOK VAIO FE14,
0KpDcG9VXL,110409,279584,CARTEIRA ESCOLAR UNIVERSITARIA COM ASSENTO E,
0KrGufqfIx,112303,14427,MESA REFEITÓRIO 6 LUGARES,
0Kwwk3Jt5g,1115,2315,CADEIRA FIXA AZUL ROYAL,
0KyfMHpEJa,1164,9486,CARTEIRA ESCOLAR PARA DESTRO,
0L7D2wsYM5,1164,3298,CARTEIRA ESCOLAR PARA DESTRO,
0LFWlP0hC1,1116,15142,IMPRESSORA 3D CREALITY,
0LGvRHwVcJ,111012,3328,CARTEIRA ESCOLAR PARA DESTRO,
0Ldprqngkk,1117,12758,POLTRONA GIRATORIA PARA ESCRITORIO ESPALDAR,
0LeVDTr4fY,110409,6810,BEBEDOURO INDUSTRIAL,
0LkedeZ94N,110409,286134,SISTEMA IMPEDANCE ANALYSER,
0M0oAFlOF8,1164,9134,CARTEIRA ESCOLAR PARA DESTRO,
0M1DGJ4M7h,1164,2787,CARTEIRA ESCOLAR PARA DESTRO,
0M9lT2y7wM,1116,12015,EXTENSÔMETRO,
0MApBCETXq,110402,10544,APARELHO TELEFONICO IP SIP T21,
0MGhLqB2E5,110302,15483,PONTO DE ACESSO,
0MVAWHUibv,1113,18344,PROJETOR ACER X1223HP 4,
0MVt5SfGhK,110409,341408,MESA DE MADEIRA COM 02 GAVETAS,
0MgW1zutdg,1110,6946,FLAUTA DOCE BAIXO,
0MiqHL8Msg,110409,9911,ESTANTE INDUSTRIAL (ARMÁRIO ESTANTE),
0N5BLrjAdv,1113,15828,CADEIRA FIXA ASSENTO E ENCOSTO EM,
0NEnIDrRiS,1164,3355,CARTEIRA ESCOLAR PARA DESTRO,
0NG1F653SX,1164,237371,CADEIRA DE FERRO,
0NR9igWhH5,1164,6305,CADEIRA DE GIRATÓRIA SEM BRAÇO MARTIFLEX,
0NfrjAyOrr,111603,11991,MICROPIPETA MONOCANAL COM VOLUME VARIÁVEL,
0NgC4MhRWW,110409,6444,CADEIRA DE GIRATÓRIA SEM BRAÇO MARTIFLEX,
0NkNgNUq3I,1164,17726,CADEIRA ESCOLAR COM PRANCHETA FRONTAL,
0Nw7xotEh7,1124,8677,CÂMERA DIGITAL DSLR 26.2,
